Date,portfolio,Mkt-RF,SMB,HML,RF
2004-05,0.016253618730940778,1.17,-0.25,-0.23,0.06
2004-06,0.022040031606658683,1.86,2.28,1.23,0.08
2004-07,-0.044847013114199585,-4.06,-3.8,3.22,0.1
2004-08,-0.0017982794863694584,0.08,-1.49,1.0,0.11
2004-09,0.04223394646543199,1.6,3.02,-0.02,0.11
2004-10,0.008642370085430118,1.43,0.15,-0.25,0.11
2004-11,0.0531221311192307,4.54,3.73,1.45,0.15
2004-12,0.025854409167737513,3.43,-0.03,-0.21,0.16
2005-01,-0.012781380512237983,-2.76,-1.72,2.07,0.16
2005-02,0.03001063862536646,1.89,-0.57,1.54,0.16
2005-03,-0.012658910794532185,-1.97,-1.4,2.05,0.21
2005-04,-0.03232625601777561,-2.61,-3.93,0.05,0.21
2005-05,0.04593324294752521,3.65,2.88,-0.59,0.24
2005-06,0.017358087051548843,0.57,2.59,2.81,0.23
2005-07,0.0441905156785074,3.92,2.9,-0.78,0.24
2005-08,0.008496393397548152,-1.22,-0.98,1.34,0.3
2005-09,0.0293265968668579,0.49,-0.67,0.69,0.29
2005-10,-0.01605590764643472,-2.02,-1.23,0.41,0.27
2005-11,0.04079360270912069,3.61,0.99,-1.2,0.31
2005-12,-0.004610859027009306,-0.25,-0.41,0.22,0.32
2006-01,0.0751055193479997,3.04,5.42,1.09,0.35
2006-02,-0.046504760899255815,-0.3,-0.4,-0.37,0.34
2006-03,0.04029663508910564,1.46,3.45,0.55,0.37
2006-04,0.02464696719445736,0.73,-1.43,2.34,0.36
2006-05,-0.03901445131053616,-3.57,-2.98,2.39,0.43
2006-06,0.007783773022713936,-0.35,-0.38,0.8,0.4
2006-07,-0.01393284496882552,-0.78,-3.99,2.62,0.4
2006-08,0.01121146728141964,2.03,1.01,-2.04,0.42
2006-09,0.010783855685211785,1.84,-1.34,0.06,0.41
2006-10,0.03621358181424261,3.23,1.72,-0.26,0.41
2006-11,0.026536961604732845,1.71,0.72,0.11,0.42
2006-12,-0.07896580035150869,0.87,-1.13,2.71,0.4
2007-01,0.10968728139449868,1.4,0.14,-0.7,0.44
2007-02,-0.030771411805398663,-1.96,1.18,-0.12,0.38
2007-03,0.0241989758303085,0.68,0.15,-0.94,0.43
2007-04,0.034824967855971334,3.49,-2.17,-1.43,0.44
2007-05,0.04103311062329085,3.24,0.23,-0.62,0.41
2007-06,-0.002126778425285303,-1.96,0.76,-1.07,0.4
2007-07,-0.008382971430446307,-3.73,-2.61,-3.73,0.4
2007-08,0.018340682799517616,0.92,-0.14,-1.89,0.42
2007-09,0.061207185478389325,3.22,-2.22,-2.23,0.32
2007-10,0.05011917999576676,1.8,0.12,-3.11,0.32
2007-11,-0.027272666364592357,-4.83,-2.93,-0.94,0.34
2007-12,-0.051012466175128446,-0.87,0.16,-0.52,0.27
2008-01,-0.042571538074910875,-6.36,-0.98,4.01,0.21
2008-02,-0.013300851384203005,-3.09,-0.41,-0.84,0.13
2008-03,-0.005534605816283733,-0.93,0.77,0.35,0.17
2008-04,0.053065699299568836,4.6,-1.72,-1.09,0.18
2008-05,0.03295400773332968,1.86,2.95,-1.53,0.18
2008-06,-0.0490702001409018,-8.44,1.24,-2.7,0.17
2008-07,-0.041371882563670304,-0.77,2.56,5.27,0.15
2008-08,-0.007689846604888251,1.53,3.5,1.48,0.13
2008-09,-0.09615720289729379,-9.24,-1.24,5.9,0.15
2008-10,-0.15835510799551444,-17.23,-2.52,-2.22,0.08
2008-11,-0.06985453665196428,-7.86,-2.87,-6.3,0.03
2008-12,0.011622817562327636,1.74,3.49,0.07,0.0
2009-01,-0.05203031713840922,-8.12,0.18,-11.11,0.0
2009-02,-0.0733021168865049,-10.1,0.13,-6.91,0.01
2009-03,0.07012035625813118,8.95,0.0,3.34,0.02
