symbol,name,mktcap,industry
A011300,성안,58564,제조업
A002820,선창산업,57366,제조업
A010660,화천기계,57640,제조업
A000950,전방,58800,제조업
A044380,주연테크,57616,제조업
A011700,한신기계,56294,제조업
A001620,케이비아이동국실업,57787,제조업
A002220,한일철강,55612,제조업
A049800,우진플라임,56400,제조업
A024070,WISCOM,71958,제조업
A007630,폴루스바이오팜,55134,제조업
A025530,SJM홀딩스,55181,제조업
A003680,한성기업,55016,제조업
A051630,진양화학,53580,제조업
A109070,컨버즈,53880,제조업
A072130,유엔젤,52782,제조업
A018470,조일알미늄,51438,제조업
A088790,진도,50787,제조업
A018500,동원금속,52132,제조업
A008110,대동전자,55390,제조업
A006880,신송홀딩스,48912,제조업
A004100,태양금속,47160,제조업
A000760,이화산업,46340,제조업
A002690,동일제강,42825,제조업
A005820,원림,44000,제조업
A006200,한국전자홀딩스,44697,제조업
A011230,삼화전자,46120,제조업
A009140,경인전자,44846,제조업
A069640,한세엠케이,44537,제조업
A030720,동원수산,44490,제조업
A011420,갤럭시아에스엠,42840,제조업
A009810,엔케이물산,42818,제조업
A071950,코아스,39870,제조업
A005030,부산주공,42012,제조업
A019490,하이트론,43281,제조업
A014910,성문전자,40922,제조업
A071090,하이스틸,40499,제조업
A010420,한솔PNS,38015,제조업
A084870,TBH글로벌,37751,제조업
A010640,진양폴리,36600,제조업
A001210,금호전기,37144,제조업
A015260,에이엔피,35577,제조업
A001770,신화실업,31405,제조업
A001420,태원물산,33896,제조업
A015020,이스타코,30982,제조업
A003280,흥아해운,30117,제조업
A002420,세기상사,25108,제조업
A004920,씨아이테크,22689,제조업
A008500,일정실업,21060,제조업
A010580,지코,19762,제조업
A025890,한국주강,19226,제조업
